dir_name,package_name,on_pypi,latest_version,local_version,last_publish,downloads_30d,downloads_7d,importable,framework,num_tools,tools_with_desc,pct_tools_desc,readme_words,has_tests,osi_license,has_server_json,transport_stdio,transport_http,rev_payg,rev_stripe,rev_attestation,glama,mcp_so,smithery,anthropic_registry,score_total,distance_to_100,flagship_candidate,cat_readme,cat_tool_design,cat_examples,cat_tests_ci,cat_transports,cat_metadata,cat_reliability,cat_security,cat_docs_surface,cat_provenance
eu-ai-act-compliance-mcp,eu-ai-act-compliance-mcp,True,1.8.2,1.8.2,2026-06-03T17:25:35.838374Z,2726,823,True,fastmcp,16,16,100,467,True,True,True,True,False,True,True,True,False,True,False,True,80.0,20.0,True,8.0,10.0,0.0,10.0,5.0,10.0,10.0,10.0,7.0,10.0
dora-compliance-mcp,dora-compliance-mcp,True,1.4.3,1.4.3,2026-06-03T17:26:26.569294Z,2410,813,True,fastmcp,10,10,100,402,True,True,True,True,False,True,True,True,False,True,False,True,78.0,22.0,True,8.0,10.0,0.0,10.0,5.0,10.0,10.0,10.0,5.0,10.0
ai-bom-mcp,ai-bom-mcp,True,1.2.12,1.2.12,2026-06-03T16:09:53.532981Z,1829,430,True,fastmcp,4,4,100,295,True,True,True,True,False,False,True,False,False,True,False,True,70.0,30.0,True,6.0,10.0,0.0,10.0,5.0,10.0,10.0,10.0,5.0,4.0
bias-detection-mcp,bias-detection-mcp,True,1.1.5,1.1.5,2026-06-03T07:49:18.479099Z,1752,291,True,fastmcp,5,5,100,1093,True,True,True,True,False,False,True,False,False,True,False,True,78.0,22.0,True,10.0,10.0,4.0,10.0,5.0,10.0,10.0,10.0,5.0,4.0
meok-governance-engine-mcp,meok-governance-engine-mcp,True,1.0.16,1.0.16,2026-06-03T16:15:45.960223Z,1735,701,True,fastmcp,6,6,100,383,True,True,True,True,False,False,True,False,False,True,False,True,75.0,25.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,4.0
cra-compliance-mcp,cra-compliance-mcp,True,1.3.3,1.3.3,2026-06-03T17:26:41.804440Z,1713,773,True,fastmcp,7,7,100,409,True,True,True,True,False,False,True,True,False,True,False,True,76.0,24.0,True,8.0,10.0,0.0,10.0,5.0,10.0,10.0,10.0,5.0,8.0
nis2-compliance-mcp,nis2-compliance-mcp,True,1.3.1,1.3.1,2026-06-03T16:05:52.191682Z,1710,449,True,fastmcp,7,7,100,401,True,True,True,True,False,False,True,False,False,True,False,True,72.0,28.0,True,8.0,10.0,0.0,10.0,5.0,10.0,10.0,10.0,5.0,4.0
gdpr-compliance-ai-mcp,gdpr-compliance-ai-mcp,True,1.1.4,1.1.4,2026-06-03T17:27:14.462336Z,1667,944,True,fastmcp,6,6,100,445,True,True,True,True,False,False,True,False,False,True,False,True,68.0,32.0,True,8.0,10.0,0.0,10.0,5.0,8.0,10.0,10.0,3.0,4.0
llm-compliance-comparison-mcp,llm-compliance-comparison-mcp,True,1.0.10,1.0.10,2026-06-03T12:17:57.228962Z,1598,724,True,fastmcp,5,5,100,372,True,True,True,True,False,False,True,False,False,True,False,True,75.0,25.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,4.0
iso-42001-ai-mcp,iso-42001-ai-mcp,True,1.1.3,1.1.3,2026-06-03T17:27:43.804760Z,1589,860,True,fastmcp,10,10,100,441,True,True,True,True,False,False,False,False,False,True,False,True,66.0,34.0,True,8.0,10.0,0.0,10.0,5.0,8.0,10.0,10.0,3.0,2.0
patient-safety-ai-mcp,patient-safety-ai-mcp,True,1.0.10,1.0.10,2026-06-03T13:44:35.320805Z,1579,651,True,fastmcp,5,5,100,373,True,True,True,True,False,False,False,False,False,True,False,True,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
meok-cra-annex-iv-classifier-mcp,meok-cra-annex-iv-classifier-mcp,True,1.1.5,1.1.5,2026-06-03T07:36:25.744494Z,1544,361,True,fastmcp,4,4,100,585,True,True,False,True,False,False,True,True,False,True,False,True,59.0,41.0,True,8.0,10.0,0.0,6.0,5.0,6.0,10.0,6.0,2.0,6.0
healthcare-ai-governance-mcp,healthcare-ai-governance-mcp,True,1.0.10,1.0.10,2026-06-03T12:21:02.870600Z,1532,649,True,fastmcp,5,5,100,428,True,True,True,True,False,False,False,False,False,True,False,True,74.0,26.0,True,10.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
encoder-ai-mcp,encoder-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:04:25.183064Z,1530,230,True,fastmcp,5,5,100,334,True,True,True,True,False,False,True,False,False,True,False,True,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
deepfake-detector-mcp,deepfake-detector-mcp,True,1.0.10,1.0.10,2026-06-03T12:24:06.864737Z,1491,584,True,fastmcp,4,4,100,344,True,True,True,True,False,False,False,False,False,True,False,True,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
meok-watermark-attest-mcp,meok-watermark-attest-mcp,True,1.3.7,1.3.7,2026-06-03T12:25:16.651336Z,1424,486,True,fastmcp,9,9,100,626,True,True,False,True,False,False,True,True,False,True,False,True,60.0,40.0,True,8.0,10.0,0.0,6.0,5.0,6.0,10.0,6.0,2.0,7.0
a2a-governance-bridge-mcp,a2a-governance-bridge-mcp,True,1.1.7,1.1.7,2026-06-03T12:19:16.385187Z,1387,539,True,fastmcp,5,5,100,757,True,True,True,True,False,False,False,False,False,True,False,True,75.0,25.0,True,10.0,10.0,4.0,10.0,5.0,10.0,10.0,10.0,5.0,1.0
clipboard-ai-mcp,clipboard-ai-mcp,True,1.0.6,1.0.6,2026-05-28T04:59:26.092106Z,1365,212,True,fastmcp,4,4,100,353,True,True,True,True,False,False,False,False,False,True,False,True,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
csrd-compliance-mcp,csrd-compliance-mcp,True,1.3.3,1.3.3,2026-06-03T17:26:59.941681Z,1362,625,True,fastmcp,6,6,100,408,False,True,True,True,False,False,True,True,False,True,False,True,66.0,34.0,True,8.0,10.0,0.0,4.0,5.0,8.0,10.0,10.0,3.0,8.0
security-scanner-ai-mcp,security-scanner-ai-mcp,True,1.0.10,1.0.10,2026-06-03T12:22:19.869812Z,1359,657,True,fastmcp,5,5,100,355,True,True,True,True,False,False,True,False,False,True,False,True,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
canada-aida-ai-mcp,canada-aida-ai-mcp,True,1.0.10,1.0.10,2026-06-03T12:33:11.955194Z,1311,541,True,fastmcp,5,5,100,595,True,True,True,True,False,False,True,False,False,True,False,True,76.0,24.0,True,10.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
scam-detector-mcp,scam-detector-mcp,True,1.0.9,1.0.9,2026-06-03T07:37:52.940771Z,1310,427,True,fastmcp,5,5,100,366,True,True,True,True,False,False,False,False,False,True,False,True,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
sentiment-analysis-ai-mcp,sentiment-analysis-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:18:58.863215Z,1272,285,True,fastmcp,4,4,100,359,True,True,True,True,False,False,False,False,False,True,False,True,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
nist-rmf-ai-mcp,nist-rmf-ai-mcp,True,1.0.11,1.0.11,2026-06-03T08:17:00.575749Z,1259,544,True,fastmcp,10,10,100,444,True,True,True,True,False,False,True,False,False,True,False,True,77.0,23.0,True,10.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,4.0
dataprivacy-ai-mcp,dataprivacy-ai-mcp,True,1.0.10,1.0.10,2026-06-03T08:15:45.459608Z,1259,543,True,fastmcp,6,6,100,410,True,True,True,True,False,False,False,False,False,True,False,True,75.0,25.0,True,10.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,2.0
risk-assessment-ai-mcp,risk-assessment-ai-mcp,True,1.0.10,1.0.10,2026-06-03T12:22:55.398075Z,1259,555,True,fastmcp,12,12,100,387,True,True,True,True,False,False,False,False,False,True,False,True,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
keyword-extractor-ai-mcp,keyword-extractor-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:08:45.893614Z,1252,299,True,fastmcp,4,4,100,364,True,True,True,True,False,False,True,False,False,True,False,True,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
meok-mcp-injection-scan-mcp,meok-mcp-injection-scan-mcp,True,1.0.11,1.0.11,2026-06-03T13:36:11.231853Z,1251,468,True,fastmcp,5,5,100,747,True,True,False,True,False,False,True,True,False,True,False,True,60.0,40.0,True,8.0,10.0,0.0,6.0,5.0,6.0,10.0,6.0,2.0,7.0
drone-airspace-governance-mcp,drone-airspace-governance-mcp,True,1.0.10,1.0.10,2026-06-03T12:20:28.599926Z,1246,512,True,fastmcp,4,4,100,356,True,True,True,True,False,False,False,False,False,True,False,True,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
soc2-compliance-ai-mcp,soc2-compliance-ai-mcp,True,1.0.10,1.0.10,2026-06-03T08:15:05.635250Z,1211,524,True,fastmcp,6,6,100,343,True,True,True,True,False,False,True,False,False,True,False,True,80.0,20.0,True,8.0,10.0,10.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
iso-27001-ai-mcp,iso-27001-ai-mcp,True,1.0.10,1.0.10,2026-06-03T08:14:19.628274Z,1202,506,True,fastmcp,6,6,100,1030,True,True,True,True,False,False,True,True,,,,,86.0,14.0,True,10.0,10.0,10.0,10.0,5.0,9.0,10.0,10.0,5.0,7.0
image-metadata-ai-mcp,image-metadata-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:07:48.608378Z,1194,145,True,fastmcp,4,4,100,353,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
password-ai-mcp,password-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:15:20.283664Z,1189,285,True,fastmcp,4,4,100,341,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
csoai-governance-crosswalk-mcp,csoai-governance-crosswalk-mcp,True,1.0.10,1.0.10,2026-06-03T16:13:04.935632Z,1186,428,True,fastmcp,12,12,100,469,True,True,True,True,False,False,True,False,,,,,79.0,21.0,True,10.0,10.0,10.0,10.0,5.0,9.0,10.0,10.0,2.0,3.0
ai-self-audit-mcp,ai-self-audit-mcp,True,1.0.9,1.0.9,2026-06-03T12:23:31.664407Z,1168,425,True,fastmcp,5,5,100,590,True,True,True,True,False,False,True,False,,,,,76.0,24.0,True,10.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
regulatory-webhook-mcp,regulatory-webhook-mcp,True,1.0.10,1.0.10,2026-06-03T16:05:03.292289Z,1162,518,True,fastmcp,9,9,100,390,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
meok-omnibus-tracker-mcp,meok-omnibus-tracker-mcp,True,1.1.3,1.1.3,2026-06-03T07:39:19.727066Z,1129,255,False,fastmcp,0,0,0,586,True,True,False,True,False,False,True,False,,,,,42.0,58.0,True,10.0,0.0,4.0,6.0,5.0,6.0,3.0,3.0,2.0,3.0
explainability-report-mcp,explainability-report-mcp,True,1.0.9,1.0.9,2026-06-03T07:41:30.788777Z,1126,413,True,fastmcp,5,5,100,372,False,True,True,True,False,False,False,False,,,,,66.0,34.0,True,8.0,10.0,4.0,4.0,5.0,9.0,10.0,10.0,5.0,1.0
optometry-ai-safety-mcp,optometry-ai-safety-mcp,True,1.0.8,1.0.8,2026-06-03T13:43:24.394324Z,1105,330,True,fastmcp,4,4,100,364,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
clinical-trials-ai-mcp,clinical-trials-ai-mcp,True,1.0.6,1.0.6,2026-05-28T04:59:20.218940Z,1089,215,True,fastmcp,5,5,100,371,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
hipaa-compliance-mcp,hipaa-compliance-mcp,True,1.0.9,1.0.9,2026-06-03T08:11:34.086212Z,1061,321,True,fastmcp,7,7,100,355,True,True,True,True,False,False,False,False,,,,,78.0,22.0,True,8.0,10.0,10.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
healthcare-fhir-mcp,healthcare-fhir-mcp,True,1.0.5,1.0.5,2026-05-28T05:07:15.695279Z,1057,220,True,fastmcp,8,8,100,802,True,True,True,True,False,False,True,False,,,,,79.0,21.0,True,10.0,10.0,10.0,10.0,5.0,8.0,10.0,10.0,3.0,3.0
code-reviewer-ai-mcp,code-reviewer-ai-mcp,True,1.0.7,1.0.7,2026-05-28T04:59:46.560374Z,1027,120,True,fastmcp,5,5,100,368,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
readme-generator-ai-mcp,readme-generator-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:17:29.630242Z,1003,180,True,fastmcp,4,4,100,357,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
database-universal-mcp,database-universal-mcp,True,1.0.8,1.0.7,2026-06-03T07:58:55.017355Z,1003,220,False,fastmcp,0,0,0,367,True,True,True,True,False,False,True,False,,,,,54.0,46.0,True,8.0,0.0,4.0,10.0,5.0,9.0,3.0,7.0,5.0,3.0
dockerfile-generator-ai-mcp,dockerfile-generator-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:03:25.035258Z,992,162,True,fastmcp,4,4,100,362,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
meeting-summarizer-ai-mcp,meeting-summarizer-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:10:16.572094Z,986,185,True,fastmcp,4,4,100,356,True,True,True,True,False,False,False,False,,,,,68.0,32.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,2.0,0.0
meok-nis2-de-register-mcp,meok-nis2-de-register-mcp,True,1.0.9,1.0.9,2026-06-03T07:42:33.695002Z,983,217,True,fastmcp,4,4,100,531,True,True,False,True,False,False,True,True,,,,,60.0,40.0,True,8.0,10.0,0.0,6.0,5.0,6.0,10.0,6.0,2.0,7.0
rag-knowledge-graph-mcp,rag-knowledge-graph-mcp,True,1.0.6,1.0.6,2026-05-28T05:17:16.121434Z,975,127,True,fastmcp,5,5,100,362,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
ci-cd-generator-ai-mcp,ci-cd-generator-ai-mcp,True,1.0.7,1.0.7,2026-05-28T04:58:49.266366Z,972,167,True,fastmcp,4,4,100,585,True,True,True,True,False,False,True,False,,,,,76.0,24.0,True,10.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
photography-ai-mcp,photography-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:16:08.732862Z,971,108,True,fastmcp,5,5,100,360,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
health-check-ai-mcp,health-check-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:07:01.960188Z,970,157,True,fastmcp,4,4,100,362,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
api-docs-generator-ai-mcp,api-docs-generator-ai-mcp,True,1.0.7,1.0.7,2026-05-28T04:56:18.289218Z,969,166,True,fastmcp,5,5,100,599,True,True,True,True,False,False,True,False,,,,,76.0,24.0,True,10.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
plagiarism-checker-ai-mcp,plagiarism-checker-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:16:15.801930Z,959,129,True,fastmcp,4,4,100,354,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
personal-finance-ai-mcp,personal-finance-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:15:58.397375Z,955,102,True,fastmcp,5,5,100,374,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
pci-dss-mcp,pci-dss-mcp,True,1.0.8,1.0.8,2026-06-03T08:16:24.026396Z,949,307,True,fastmcp,5,5,100,358,True,True,True,True,False,False,False,True,,,,,76.0,24.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,5.0
code-executor-mcp,code-executor-mcp,True,1.0.7,1.0.7,2026-05-28T04:59:41.031015Z,949,129,True,fastmcp,7,7,100,432,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,10.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,4.0,2.0
sql-builder-ai-mcp,sql-builder-ai-mcp,True,1.0.6,1.0.6,2026-05-07T12:21:00.991305Z,945,105,True,fastmcp,4,4,100,278,True,True,True,True,False,False,False,False,,,,,63.0,37.0,True,6.0,10.0,0.0,10.0,5.0,8.0,10.0,10.0,3.0,1.0
focus-timer-ai-mcp,focus-timer-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:05:50.228774Z,937,102,True,fastmcp,8,8,100,368,True,True,True,True,False,False,True,False,,,,,70.0,30.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,2.0,2.0
regex-ai-mcp,regex-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:17:52.031513Z,933,113,True,fastmcp,4,4,100,355,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
license-checker-ai-mcp,license-checker-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:09:12.992958Z,928,109,True,fastmcp,4,4,100,353,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
grammar-fix-ai-mcp,grammar-fix-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:06:36.029791Z,928,113,True,fastmcp,4,4,100,353,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
contract-review-ai-mcp,contract-review-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:00:49.830158Z,925,102,True,fastmcp,7,7,100,357,True,True,True,True,False,False,False,False,,,,,68.0,32.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,2.0,0.0
note-taking-ai-mcp,note-taking-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:14:26.661809Z,922,112,True,fastmcp,4,4,100,355,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
invoice-generator-ai-mcp,invoice-generator-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:08:04.643287Z,920,149,True,fastmcp,4,4,100,359,True,True,True,True,False,False,False,False,,,,,68.0,32.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,2.0,0.0
markdown-ai-mcp,markdown-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:09:39.877228Z,917,122,True,fastmcp,4,4,100,343,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
cli-builder-ai-mcp,cli-builder-ai-mcp,True,1.0.7,1.0.7,2026-05-28T04:59:14.421739Z,915,115,True,fastmcp,4,4,100,343,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
project-management-ai-mcp,project-management-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:16:37.335218Z,914,125,True,fastmcp,5,5,100,375,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
pet-care-ai-mcp,pet-care-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:16:03.508656Z,913,131,True,fastmcp,5,5,100,377,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
changelog-ai-mcp,changelog-ai-mcp,True,1.0.7,1.0.7,2026-05-28T04:58:25.925081Z,910,106,True,fastmcp,4,4,100,566,True,True,True,True,False,False,True,False,,,,,76.0,24.0,True,10.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
icon-generator-ai-mcp,icon-generator-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:07:43.366029Z,910,148,True,fastmcp,4,4,100,360,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
json-ai-mcp,json-ai-mcp,True,1.0.7,1.0.7,2026-05-28T05:08:35.922035Z,909,103,True,fastmcp,4,4,100,342,True,True,True,True,False,False,True,False,,,,,74.0,26.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,3.0
budget-planner-ai-mcp,budget-planner-ai-mcp,True,1.0.6,1.0.6,2026-05-28T04:57:40.578385Z,909,176,True,fastmcp,13,13,100,648,True,True,True,True,False,False,False,False,,,,,70.0,30.0,True,10.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,2.0,0.0
resume-parser-ai-mcp,resume-parser-ai-mcp,True,1.0.6,1.0.6,2026-05-28T05:18:11.685556Z,907,142,True,fastmcp,4,4,100,358,True,True,True,True,False,False,False,False,,,,,72.0,28.0,True,8.0,10.0,4.0,10.0,5.0,9.0,10.0,10.0,5.0,1.0
